Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000260314	-5.06508592047965	2.99130423482523	-24.9190791992492	5.35705360685079e-17	1.24840777254051e-12	28.5736343277839
ENSG00000173801	4.93036183311056	6.74032322747603	21.4785555516693	1.06127535700514e-15	1.18486488609211e-11	25.8250543207614
ENSG00000229754	6.9339588391369	2.97510393860876	21.0919721279226	1.52531524986111e-15	1.18486488609211e-11	25.317909284833
ENSG00000057757	-2.96202373899306	5.08717109409785	-19.992867141544	4.42673438543525e-15	2.23856459845948e-11	24.5281962703815
ENSG00000147872	-4.76407394559726	6.42026002268506	-19.9109038325502	4.80296214911491e-15	2.23856459845948e-11	24.4913106520434
ENSG00000122254	-5.55512502175737	-0.251998942703995	-18.2847848044187	2.58778573744838e-14	8.61510840364244e-11	22.6632596951304
ENSG00000117632	-3.94910586239507	2.087055912762	-18.025965751695	3.42502559326065e-14	9.97709955316827e-11	22.2861836873478
ENSG00000136235	-2.92853388509241	9.63278927418288	-17.3823699015102	6.98566815954285e-14	1.55906082638427e-10	21.9735994756657
ENSG00000185885	9.58250797147355	5.58043529339906	18.3918253693889	2.30689756740117e-14	8.61510840364244e-11	21.9669929042293
ENSG00000108828	-3.04171830726471	7.08313031038627	-17.336146999387	7.35910963363672e-14	1.55906082638427e-10	21.8949751322034
ENSG00000135929	-4.96511089940598	7.19774484005356	-17.1475328008382	9.11311541330791e-14	1.7697670132644e-10	21.6563202842296
ENSG00000143554	3.4359974682458	4.88243284692106	16.4184761328369	2.12376375936424e-13	3.53515647487316e-10	20.7763228717171
ENSG00000205413	4.18709387514562	8.58370327640402	16.0799968685869	3.18065469336023e-13	4.94146513160446e-10	20.4476094878082
ENSG00000125826	2.56039304152829	6.51850047985964	15.9602493066106	3.67564273217516e-13	5.03865754297705e-10	20.2886675188756
ENSG00000104951	4.48350674322438	8.17080766838966	15.7898202413554	4.52309038523085e-13	5.85589435207887e-10	20.0630729124486
ENSG00000163666	6.55768548591645	4.00084781602465	16.4672073172047	2.00497666499699e-13	3.53515647487316e-10	20.0489220554697
ENSG00000132256	3.10681158182597	6.45409790630075	15.6631400212477	5.28381162639405e-13	6.48073400744668e-10	19.9188758372241
ENSG00000115155	8.65877515458118	1.68190163165675	17.5958113956599	5.50108851956091e-14	1.42441518733164e-10	19.682720878023
ENSG00000128383	7.83967214762957	7.14019416418202	15.4254042346251	7.09426200595581e-13	7.87260389460925e-10	19.3983961646859
ENSG00000196684	5.85427010461431	5.54186774522209	15.1742046583756	9.72613659976644e-13	1.03026312418617e-09	19.1818733463819
ENSG00000159640	4.41794119935184	2.99362539983212	15.0683586622219	1.11238210853502e-12	1.12708489814348e-09	19.1810451619322
ENSG00000021762	3.65887320502228	3.92489346373942	14.7676543535723	1.63611980792969e-12	1.47985375455566e-09	18.8132522823937
ENSG00000121858	6.15177555455224	8.89464412894501	14.72031936299	1.73960508400097e-12	1.50147247694661e-09	18.7810613026054
ENSG00000140280	2.7591979467266	5.70196135752445	14.7606327683921	1.65105551057531e-12	1.47985375455566e-09	18.7344353041785
ENSG00000107798	-4.04796917153644	6.6760953929874	-14.6122990908046	2.00217506952537e-12	1.60892026966273e-09	18.6431204827672
ENSG00000175550	2.47091460349899	6.03413025059638	14.3692621199098	2.7557735236514e-12	2.06353075930146e-09	18.319452446288
ENSG00000128595	-2.79954571812933	6.53053556593359	-14.3482483972597	2.83354721496939e-12	2.06353075930146e-09	18.2964763061137
ENSG00000163568	6.8592284599741	4.58553292238013	15.444473360266	6.92758587929871e-13	7.87260389460925e-10	18.2934461920814
