Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000145901	3.93622760844223	9.87016104131744	31.3833868098764	4.93002660397232e-19	1.14889339978971e-14	33.4023491701521
ENSG00000118503	6.33322486561351	9.65573532556591	28.9142807206218	2.62328668209492e-18	3.05665364197701e-14	31.7380169661205
ENSG00000056558	9.27620290422163	8.4856480421781	26.6795020651342	1.34535952749565e-17	1.04507528095862e-13	29.8636288270739
ENSG00000197329	4.22487406184429	7.81438654350819	26.0608210988396	2.16452689254172e-17	1.26105336759481e-13	29.8124237691032
ENSG00000057757	-3.95364367188947	5.08717109409785	-23.9444456647988	1.19814024255202e-16	4.65357670207204e-13	28.0300805929655
ENSG00000146457	4.28811224953717	8.66724251296952	23.1248777821873	2.41493312960604e-16	7.0347002065424e-13	27.5237185050377
ENSG00000102794	12.5559652842676	6.1217093016939	24.8041495112486	5.88134405053922e-17	2.74117683507532e-13	27.0365679118601
ENSG00000105855	7.97451116809886	6.12359176273689	23.2311764051461	2.20223345550826e-16	7.0347002065424e-13	26.5897465293302
ENSG00000026751	8.03785979260318	10.6251227823865	21.8890240172653	7.26751171526444e-16	1.53965539102293e-12	26.4568993333065
ENSG00000105939	4.23500860236247	8.22736393548249	21.6785245535236	8.8177725665369e-16	1.71241143242147e-12	26.2789400211143
ENSG00000158470	3.15781330314955	9.24836040158689	21.4696219394085	1.07013622229618e-15	1.91834265572232e-12	26.1036777389129
ENSG00000131203	9.57499879560342	8.82046887520656	22.2179741422975	5.39059776018548e-16	1.39580544670403e-12	25.9290534730322
ENSG00000050730	11.0606639515331	6.64085183636037	21.9962195632786	6.59034391757998e-16	1.53581374655284e-12	25.2218818481666
ENSG00000120217	8.27849443519641	7.88650946518488	20.7706884410471	2.07159212639182e-15	3.44831306524536e-12	25.1272059842014
ENSG00000109320	4.19811588019999	9.18174964730179	20.3904573720477	2.99285230158846e-15	4.023936567277e-12	25.0920919490554
ENSG00000131979	7.70844069296907	7.54197849058682	20.692119177472	2.23409212843104e-15	3.47088553073046e-12	25.0914717227932
ENSG00000100906	3.78064833745338	10.0094379218951	20.2959754489355	3.2825306800006e-15	4.023936567277e-12	25.0085790286348
ENSG00000115919	3.51943461335429	9.12301242444688	20.2843607801205	3.32011313797728e-15	4.023936567277e-12	24.9823988126152
ENSG00000275302	9.18673709477695	8.09515721102189	20.0826661893266	4.04968907023992e-15	4.49399781394624e-12	24.7367400527059
ENSG00000198604	2.67194962480147	7.89806011757123	19.7831185868923	5.45762581072655e-15	5.78111417696234e-12	24.4922979701163
ENSG00000144909	-2.97730715918203	5.92426464087041	-19.6395944203281	6.3055198189616e-15	5.87775335444324e-12	24.2788986469963
ENSG00000120539	4.43857106970366	5.54257403448211	19.7202645445768	5.81324954091467e-15	5.85373602139466e-12	24.2652133671356
ENSG00000103066	-5.49332370222263	3.72490656644533	-19.6841338832079	6.02856438866597e-15	5.85373602139466e-12	23.9445848086743
ENSG00000136478	-4.12386397431077	3.40314057661666	-19.4936640883726	7.30995726612599e-15	6.55197092806923e-12	23.9353814173643
ENSG00000197272	8.38736419835219	3.5785729989333	20.2442411583364	3.45342994102043e-15	4.023936567277e-12	23.7935112312706
ENSG00000163874	5.5040064814259	6.94921508154079	18.9992486439491	1.21525367866386e-14	1.04889895287343e-11	23.6159121788152
ENSG00000186063	3.03565445220707	4.90549829684295	18.8387462837459	1.43693890228363e-14	1.1547042820282e-11	23.4510788100624
ENSG00000121594	6.38425934488099	6.67100990575994	18.9263292135191	1.3111728670638e-14	1.09127044621624e-11	23.2862666939785
