Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131203	8.82741318136434	8.82046887520656	30.7581808222922	7.43643797526492e-19	1.73298750575574e-14	32.5870958702548
ENSG00000118503	4.91737381405174	9.65573532556591	23.440056751181	1.83938851037008e-16	1.66590390825373e-12	27.7577460382156
ENSG00000100906	4.45718549937275	10.0094379218951	23.0932881703985	2.4822046190417e-16	1.66590390825373e-12	27.4885123569912
ENSG00000026508	4.61717290789704	11.2560810998999	22.7422906112362	3.37636766506872e-16	1.66590390825373e-12	27.2321044231129
ENSG00000115919	3.8116058723959	9.12301242444688	22.6778445036651	3.57428747908884e-16	1.66590390825373e-12	27.141119941877
ENSG00000188676	8.5380755489921	3.42770018711937	22.4447986666553	4.39742056695804e-16	1.7079581482065e-12	24.6574413395536
ENSG00000123610	7.32881782260925	7.28036431625947	20.1662114784932	3.7290033985833e-15	1.08625869000731e-11	24.5555188174824
ENSG00000149483	3.72755272165481	5.88879221491145	19.184856819	1.00275822140254e-14	2.33682775915648e-11	23.8335411797175
ENSG00000177675	-4.97284835331688	4.30376388652638	-19.6203328133758	6.42938280794251e-15	1.66478152173658e-11	23.8231377731997
ENSG00000056558	6.06240161574983	8.4856480421781	18.8491374795179	1.42137999597835e-14	2.67733990171137e-11	23.4678952544536
ENSG00000115232	-5.96358336046761	4.00685366232706	-19.0432742689467	1.16091934922721e-14	2.45946041039918e-11	23.4264905239207
ENSG00000026297	-4.40016468606327	5.53243101918371	-18.8019135369352	1.49353839350532e-14	2.67733990171137e-11	23.409169392491
ENSG00000105855	9.16900150542146	6.12359176273689	20.4269214758196	2.8883198976355e-15	9.61562955635681e-12	23.2824497655219
ENSG00000131378	3.99221932090358	7.56708966065254	18.5533620322623	1.94182583843133e-14	3.23230780991455e-11	23.2229917077306
ENSG00000075420	3.14443303645854	8.96077640838151	18.3678222517549	2.36698526822136e-14	3.30449263831459e-11	23.0449190891004
ENSG00000101439	-4.25481865444472	7.92681298611516	-18.3507992220606	2.41058937741796e-14	3.30449263831459e-11	23.0268626035943
ENSG00000271503	7.54263883189891	8.77082646779647	18.0782844145076	3.23542541912976e-14	3.80947952212229e-11	22.6665912817234
ENSG00000120896	-3.9853711529421	5.54884936548301	-18.0104126855049	3.4836011220504e-14	3.86580193086964e-11	22.6333518606324
ENSG00000112096	5.09982660162981	12.6541974411381	17.9322886437031	3.79408096311124e-14	4.01896648928838e-11	22.5775498332405
ENSG00000108798	-5.34211651679641	3.29846050818235	-18.0686836751978	3.26937823731745e-14	3.80947952212229e-11	22.4792799065397
ENSG00000143554	-3.85054411301287	4.88243284692106	-17.8415485627372	4.19133186793948e-14	4.24673034132442e-11	22.4216072056393
ENSG00000121594	4.17505849220595	6.67100990575994	17.7775557020236	4.4974574095524e-14	4.36703114467538e-11	22.3915671242916
ENSG00000010327	-8.35399529763569	7.82819763786145	-17.4757961145226	6.29005125750787e-14	5.63782132711398e-11	22.0448015501083
ENSG00000159640	-7.13838601366965	2.99362539983212	-17.6408086937297	5.23257654540708e-14	4.87759855256666e-11	21.9090581123737
ENSG00000188452	-5.38292114628787	1.56965074836728	-18.160412457981	2.95961244605739e-14	3.80947952212229e-11	21.7795714561174
ENSG00000021762	-4.60981162101632	3.92489346373942	-17.215025160321	8.44000897537194e-14	7.02449889864527e-11	21.7255129369864
ENSG00000136235	-3.27836008032326	9.63278927418288	-17.1070098023835	9.54398993969473e-14	7.66941867429814e-11	21.6630429369143
ENSG00000250722	-10.5909035262562	3.76062411928222	-18.4290043480923	2.21695393605936e-14	3.30449263831459e-11	21.6289963827651
ENSG00000123124	-3.10747524926741	5.65022436806187	-16.8099079115033	1.34309063113372e-13	1.00965755057872e-10	21.3156546862112
ENSG00000152804	-4.41738457008276	1.22396895786021	-16.9398700920816	1.15590534949395e-13	8.97907275486899e-11	21.0759625813171
ENSG00000188404	-4.87373203992251	5.20022889994217	-16.5897796081551	1.73586836067521e-13	1.25895385603907e-10	21.0603476307148
ENSG00000073849	-3.62140685388881	4.3836359425838	-16.5670505618615	1.78276163960218e-13	1.25895385603907e-10	21.0131739259771
ENSG00000104870	-3.76600154714996	8.24782675753604	-16.2292212928426	2.65947621480494e-13	1.6750387489139e-10	20.6444350493785
ENSG00000058091	4.77757195406377	4.13354213422956	16.3798722742941	2.22307303263129e-13	1.52372041036587e-10	20.6266221305209
ENSG00000110077	-9.07774324866534	5.93826646701011	-16.2460240815993	2.60665313554884e-13	1.6750387489139e-10	20.5966554988015
ENSG00000226091	5.03756180113945	3.54029013928745	16.3397078156865	2.3315593823167e-13	1.55241885272881e-10	20.5268700290109
ENSG00000146457	3.01470835233208	8.66724251296952	16.1036078636151	3.09156298062868e-13	1.84696728559564e-10	20.49624364381
ENSG00000104312	3.86395618042924	6.71018199334668	16.0766404268337	3.19353561370112e-13	1.84696728559564e-10	20.4593809782822
ENSG00000163121	5.46252249405496	4.14444559819838	16.0622814650615	3.24925869030972e-13	1.84696728559564e-10	20.3481861642776
ENSG00000132003	5.16981130458068	4.53994774402597	16.0064397842539	3.47580312175199e-13	1.92857418926925e-10	20.2350557246362
