Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000136235	-4.18879701062439	9.63278927418288	-22.6015275137995	3.8244637580166e-16	7.85284298998588e-12	27.0658336667669
ENSG00000260314	-6.62647100382089	2.99130423482523	-21.9716520012358	6.73948076723814e-16	7.85284298998588e-12	25.6146245417454
ENSG00000197272	-4.25564640157411	3.5785729989333	-16.8998127415318	1.21050524994827e-13	6.96977127015541e-10	21.3339907533602
ENSG00000260583	-7.92487035907711	-3.17114494857875	-20.5970323038341	2.44875255864962e-15	1.90219098755903e-11	21.1217001959138
ENSG00000177675	-3.44078598468232	4.30376388652638	-16.4306388370556	2.09344376079428e-13	6.96977127015541e-10	20.7710703025256
ENSG00000132718	3.04035734832845	5.44195181077689	16.317943014309	2.39264375906468e-13	6.96977127015541e-10	20.6291935561348
ENSG00000162909	-4.12014088108468	6.48455678817713	-15.8334980806085	4.28810019545105e-13	9.99298869547912e-10	20.1577842167949
ENSG00000101460	4.23482584301273	5.39477749911518	15.7528024784914	4.73276989348267e-13	1.00265881452473e-09	20.0529646828866
ENSG00000250722	-9.79204389210586	3.76062411928222	-16.5809314194173	1.75396840829572e-13	6.96977127015541e-10	19.6198982210432
ENSG00000146094	5.27493561883584	6.10834548507379	15.2950750749206	8.35154156371174e-13	1.49711018923645e-09	19.3291765987206
ENSG00000152213	4.40012846469591	3.45999329854953	15.2992063901237	8.30830924842011e-13	1.49711018923645e-09	18.7486814546389
ENSG00000173068	-8.38135708622185	-2.92087403444055	-16.4188306322314	2.12287358113826e-13	6.96977127015541e-10	18.3745189694092
ENSG00000106591	-2.55909994999867	4.28976700269249	-14.3590222182774	2.79339024585283e-12	4.33981108595696e-09	18.2808649912735
ENSG00000175538	4.16904652987724	4.83871342148662	14.4836821532789	2.36965438222537e-12	3.94445898024143e-09	18.1327721088441
ENSG00000155719	-7.63763380741439	-0.713159701168922	-16.0466541130465	3.31105942759612e-13	8.57343654452223e-10	18.0286031861868
