Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000177675	-5.37464794268671	4.30376388652638	-27.5370477944575	7.07857595633197e-18	8.24795670431801e-14	30.3858072895795
ENSG00000260314	-9.57105442025803	2.99130423482523	-28.1218184072843	4.61797356338947e-18	8.24795670431801e-14	29.2273598552936
ENSG00000136235	-4.15442675783549	9.63278927418288	-23.9576801020636	1.18487439392363e-16	8.85336054642328e-13	28.2697644708745
ENSG00000145901	2.91654177899407	9.87016104131744	23.2044448065367	2.25380777945713e-16	8.85336054642328e-13	27.5774839258119
ENSG00000057757	-3.51982783484901	5.08717109409785	-23.1913943862661	2.27944401298231e-16	8.85336054642328e-13	27.4559131921666
ENSG00000115919	3.88251246906664	9.12301242444688	22.8892652281592	2.96668017848722e-16	9.87650212563802e-13	27.3011498823821
ENSG00000128604	-3.4847873147256	6.94552964895015	-22.5186267525062	4.11709100544111e-16	1.199308609885e-12	26.8981354852707
ENSG00000250722	-10.8316065441102	3.76062411928222	-23.2801960447323	2.1108403871542e-16	8.85336054642328e-13	26.07803780385
ENSG00000118503	4.58489024326127	9.65573532556591	20.6640098392446	2.29542026591926e-15	5.18561315489611e-12	25.2843457188836
ENSG00000105855	7.3896953003065	6.12359176273689	21.5855352269449	9.60933687375536e-16	2.48817762784439e-12	25.1653261694825
ENSG00000114770	-5.38471495583722	5.1422480182418	-20.2713941485326	3.36260232153959e-15	6.02785265393528e-12	24.8841541110998
ENSG00000117632	-5.47699655591565	2.087055912762	-20.5076511750231	2.6702436430979e-15	5.18561315489611e-12	24.4396420708354
ENSG00000131203	8.85161642114917	8.82046887520656	20.5633148076818	2.52995988581713e-15	5.18561315489611e-12	24.4330034111282
ENSG00000132718	3.1722803593734	5.44195181077689	19.8099174311404	5.31298701143602e-15	8.254256620967e-12	24.4207217036308
ENSG00000166523	6.61110784235041	7.75017505944931	19.8315632726791	5.19908787677182e-15	8.254256620967e-12	24.3303672479793
ENSG00000179163	-6.01329334325057	6.99983989143479	-19.2359980095726	9.51315617784629e-15	1.37644644588608e-11	23.933946522787
ENSG00000107798	-5.47606480301045	6.6760953929874	-18.7355409000792	1.60149213170037e-14	2.07339847984141e-11	23.42165341213
ENSG00000134061	-8.14372093578844	1.68246722728294	-19.1835580877342	1.00410185290351e-14	1.37644644588608e-11	23.0925922912588
ENSG00000138448	3.35212982687296	6.86370798680462	18.2512794666166	2.68287913305425e-14	3.19107621515469e-11	22.9144837236427
ENSG00000183020	-3.15585104415013	6.06166315096252	-18.1256501921202	3.07322907944494e-14	3.41040621273262e-11	22.7736374701801
ENSG00000123124	-3.2228860224156	5.65022436806187	-17.8916110072129	3.96706236621085e-14	4.20220097191716e-11	22.5135459244171
